[Retainability,HOSR,RSRP,RSRQ,SINR,Throughput,Distance,FaultCause]
0.907,0.85,-64.372,-19.685,14.329,197.534,0.712,1
0.918,0.733,-62.968,-18.673,15.053,207.534,0.545,1
0.868,0.563,-68.681,-20.572,12.101,220.341,0.662,1
0.931,0.789,-61.692,-19.094,13.01,167.657,0.55,1
1,1,-63.932,-19.359,15.203,225.098,0.543,1
0.88,0.773,-64.348,-20.233,13.395,172.054,0.681,1
0.88,0.714,-63.966,-19.499,13.319,189.2,0.548,1
0.836,0.69,-64.949,-20.364,13.945,177.781,0.677,1
0.898,0.76,-64.459,-20.468,13.756,185.532,0.625,1
0.925,0.81,-66.505,-20.116,12.516,135.712,0.642,1
0.901,0.708,-73.186,-19.6,11.222,143.716,0.569,1
0.953,0.813,-63.406,-20.109,14.523,185.479,0.58,1
0.966,0.929,-70.977,-20.222,11.595,148.618,0.599,1
0.944,0.875,-65.538,-19.389,13.529,143.788,0.562,1
0.881,0.759,-72.177,-20.126,11.378,117.869,0.633,1
0.897,0.826,-67.901,-19.881,11.115,128.234,0.599,1
0.929,0.733,-66.88,-20.001,15.169,221.509,0.591,1
0.877,0.65,-67.548,-19.703,13.753,197.337,0.568,1
0.967,0.929,-65.199,-19.612,16.151,182.026,0.571,1
0.952,0.824,-65.126,-19.435,14.692,192.941,0.545,1
0.985,0.952,-67.203,-19.186,13.175,147.492,0.613,1
0.959,0.813,-69.155,-19.017,13.476,157.702,0.585,1
0.911,0.611,-70.372,-19.61,12.66,138.596,0.622,1
0.95,0.8,-68.926,-18.469,10.564,176.294,0.601,1
0.987,0.963,-66.745,-18.959,15.088,168.342,0.606,1
1,1,-68.87,-19.12,13.504,157.553,0.616,1
0.976,0.935,-69.704,-19.061,11.779,147.135,0.586,1
0.974,0.9,-67.181,-18.581,14.489,176.273,0.554,1
1,1,-76.065,-19.615,10.584,138.768,0.597,1
0.972,0.926,-70.613,-19.699,11.813,139.311,0.6,1
0.99,0.957,-68,-18.497,12.993,138.734,0.665,1
0.965,0.919,-67.016,-19.158,9.135,128.242,0.69,1
0.961,0.889,-63.544,-19.091,14.317,147.336,0.71,1
0.97,0.875,-63.585,-19.243,14.656,178.275,0.697,1
0.981,0.95,-70.464,-19.196,12.177,118.624,0.706,1
1,1,-61.547,-19.646,14.259,122.619,0.719,1
0.944,0.868,-72.61,-19.555,10.828,109.716,0.723,1
0.952,0.895,-67.035,-18.939,11.346,125.745,0.717,1
0.991,0.969,-69.665,-19.147,12.67,132.47,0.689,1
0.947,0.848,-70.285,-19.221,12.26,113.622,0.699,1
0.939,0.947,-63.088,-19.319,16.061,220.783,0.535,1
0.953,0.895,-64.414,-20.251,14.801,178.825,0.658,1
0.895,0.808,-62.846,-19.81,15.085,187.169,0.625,1
0.902,0.706,-64.185,-19.804,16.175,237.962,0.57,1
0.9,0.762,-63.907,-19.892,13.093,151.452,0.657,1
0.925,0.875,-67.269,-19.958,11.927,154.804,0.602,1
0.938,0.882,-63.812,-20.068,12.972,153.67,0.698,1
0.889,0.684,-62.135,-20.03,14.534,221.004,0.705,1
0.959,0.882,-62.244,-19.352,14.031,198.455,0.681,1
0.893,0.615,-62.779,-19.535,14.486,169.842,0.603,1
0.934,0.714,-62.96,-19.241,13.589,198.455,0.573,1
0.953,0.92,-62.478,-19.695,13.766,157.869,0.68,1
0.935,0.875,-70.013,-20.18,10.407,141.791,0.588,1
0.898,0.773,-62.671,-19.436,14.485,232.583,0.608,1
0.921,0.737,-62.833,-19.511,14.998,241.493,0.589,1
0.939,0.84,-65.181,-19.735,13.69,177.514,0.675,1
0.938,0.813,-62.635,-20.173,13.835,132.47,0.668,1
0.837,0.724,-62.749,-20.231,14.154,147.934,0.632,1
0.922,0.75,-66.189,-20.427,14.449,173.648,0.598,1
0.978,0.933,-66.924,-20.208,11.154,192.748,0.616,1
